Simulate Step number ,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading
1,501.466,14.7561,2,0.2,0.0025,0.2,501.466
2,502.191,14.7561,2,0.3,0.0025,0.3,502.191
3,502.911,14.7561,2,0.4,0.0025,0.4,502.911
4,503.627,14.7561,2,0.5,0.0025,0.5,503.627
5,504.337,14.7561,2,0.6,0.0025,0.6,504.337
6,505.042,14.7561,2,0.7,0.0025,0.7,505.042
7,505.742,14.7561,2,0.8,0.0497832,0.8,505.742
8,506.438,14.7561,2,0.9,0.0025,0.9,506.438
9,507.128,14.7561,2,1,0.0025,1,507.128
10,507.813,14.7561,2,1.1,0.0025,1.1,507.813
11,508.494,14.7561,2,1.2,0.0025,1.2,508.494
12,509.169,14.7561,2,1.3,0.0025,1.3,509.169
13,509.839,14.7561,2,1.4,0.0025,1.4,509.839
14,510.505,14.7561,2,1.5,0.0025,1.5,510.505
15,511.165,14.7561,2,1.6,0.0025,1.6,511.165
16,511.82,14.7561,2,1.7,0.00206399,1.7,511.82
17,512.47,14.7561,2,1.8,1.4549,1.8,512.47
18,513.116,14.7561,2,1.9,0.0025,1.9,513.116
19,513.756,14.7561,2,2,3.73492,2,513.756
20,514.391,14.7561,2,2.1,68.1486,2.1,514.391
21,515.022,14.7561,2,2.2,3.73492,2.2,515.022
22,515.647,14.7561,2,2.3,-9.999e-09,2.3,515.647
23,516.267,14.7561,2,2.4,0.0025,2.4,516.267
24,516.883,14.7561,2,2.5,0.0025,2.5,516.883
25,517.493,14.7561,2,2.6,-9.999e-09,2.6,517.493
26,518.098,14.7561,2,2.7,3.73492,2.7,518.098
27,518.698,14.7561,2,2.8,0.0025,2.8,518.698
28,519.294,14.7561,2,2.9,0.0025,2.9,519.294
29,519.884,14.7561,2,3,0.0025,3,519.884
30,520.469,14.7561,2,3.1,0.0025,3.1,520.469
31,521.05,14.7561,2,3.2,0.0025,3.2,521.05
