#Simulate Step number,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading,Time taken by task
1.0000,20.4699,28.8692,-4.0000,13.5892,-0.0000,24.6000,20.4699,0
2.0000,20.6154,27.4092,-4.0000,12.6041,-0.0000,24.4000,20.6154,20
3.0000,20.9456,30.9044,-4.0000,11.3834,-0.0000,24.2000,20.9456,17
4.0000,21.2467,30.1217,-4.0000,15.3211,-0.0000,24.0000,21.2467,20
5.0000,21.5765,30.4963,-4.0000,14.8639,-0.0000,23.8000,21.5765,34
6.0000,21.8686,29.5423,-4.0000,15.5584,0.0948,23.6000,21.8686,42
7.0000,22.2411,30.9491,-4.0000,14.9604,-0.0000,23.4000,22.2411,23
8.0000,22.6060,30.5990,-4.0000,16.7658,-0.0000,23.2000,22.6060,26
9.0000,22.8734,28.4471,-4.0000,16.7696,-0.0000,23.0000,22.8734,26
10.0000,23.2206,29.8454,-4.0000,14.8496,0.0948,22.8000,23.2206,41
11.0000,23.5556,29.3989,-4.0000,16.6675,-0.0000,22.6000,23.5556,38
12.0000,24.9206,27.3003,0.0000,0.0100,0.0100,22.6000,24.9206,2
13.0000,25.3400,30.8891,-4.0000,14.9594,-0.0000,22.4000,25.3400,32
14.0000,25.7285,30.0684,-4.0000,18.9831,-0.0000,22.2000,25.7285,17
15.0000,26.1377,30.2840,-4.0000,18.4974,-0.0000,22.0000,26.1377,22
16.0000,26.4975,29.0970,-4.0000,19.0737,-0.0000,21.8000,26.4975,25
17.0000,26.8828,29.4050,-4.0000,18.2015,-0.0000,21.6000,26.8828,16
18.0000,27.2454,28.7531,-4.0000,18.8589,-0.0000,21.4000,27.2454,22
19.0000,27.7044,30.4792,-4.0000,18.5293,-0.0000,21.2000,27.7044,17
20.0000,28.0870,28.7519,-4.0000,20.6523,-0.0000,21.0000,28.0870,18
21.0000,28.4146,27.4528,-4.0000,19.2325,-0.0000,20.8000,28.4146,23
22.0000,28.9052,30.5124,-4.0000,18.2278,-0.0000,20.6000,28.9052,20
23.0000,29.3517,29.5296,-0.0008,20.6000,-0.0000,20.6000,29.3517,15
24.0000,29.8408,30.3812,-0.0008,20.5999,-0.0000,20.5999,29.8408,14
25.0000,30.2518,28.8198,-0.0009,20.5999,-0.0000,20.5999,30.2518,19
26.0000,30.5909,27.3015,-3.2199,20.4389,-0.0000,20.4389,30.5909,23
27.0000,30.9702,27.9258,-4.0000,19.1704,-0.0000,20.2389,30.9702,41
28.0000,31.3966,28.6658,-4.0000,11.5870,19.2178,20.0389,31.3966,27
29.0000,31.8097,28.3008,-0.0008,20.0388,-0.0000,20.0388,31.8097,19
30.0000,32.2809,29.4637,-0.0008,20.0388,-0.0000,20.0388,32.2809,18
31.0000,32.6387,27.1939,-0.0008,20.0388,-0.0000,20.0388,32.6387,18
32.0000,33.1794,30.8524,-0.0008,20.0387,-0.0000,20.0387,33.1794,11
33.0000,33.6595,29.6416,-0.0008,20.0387,-0.0000,20.0387,33.6595,26
34.0000,34.0914,28.6757,-0.0008,20.0386,-0.0000,20.0386,34.0914,29
35.0000,34.4542,27.2947,-0.0008,20.0386,-0.0000,20.0386,34.4542,21
36.0000,34.8696,28.3470,-0.0008,20.0386,-0.0000,20.0386,34.8696,13
37.0000,35.3774,30.0954,-4.0000,19.8386,0.3949,19.8386,35.3774,20
38.0000,35.8410,29.1105,-0.0008,19.8385,-0.0000,19.8385,35.8410,18
39.0000,36.3737,30.4916,-0.0008,19.8385,-0.0000,19.8385,36.3737,51
40.0000,36.8558,29.4801,-0.0008,19.8384,-0.0000,19.8384,36.8558,32
41.0000,37.3793,30.3082,-0.0008,19.8384,-0.0000,19.8384,37.3793,33
42.0000,37.7533,27.3193,-0.0008,19.8384,-0.0000,19.8384,37.7533,32
43.0000,38.2029,28.8305,-0.0008,19.8383,-0.0000,19.8383,38.2029,16
44.0000,38.5747,27.2735,-0.0008,19.8383,-0.0000,19.8383,38.5747,36
45.0000,38.9579,27.5019,-0.0008,19.8382,-0.0000,19.8382,38.9579,50
46.0000,39.4982,30.6454,-0.0008,19.8382,-0.0000,19.8382,39.4982,22
47.0000,39.9745,29.3631,-0.0008,19.8382,-0.0000,19.8382,39.9745,47
48.0000,40.4775,29.8991,-0.0008,19.8381,-0.0000,19.8381,40.4775,47
49.0000,40.9162,28.6122,-0.0008,19.8381,-0.0000,19.8381,40.9162,39
50.0000,41.4550,30.6137,-0.0008,19.8380,-0.0000,19.8380,41.4550,43
51.0000,41.9767,30.2728,-0.0008,19.8380,-0.0000,19.8380,41.9767,51
52.0000,42.5241,30.8353,2.0000,19.9380,-0.0000,19.9380,42.5241,17
53.0000,42.9964,29.3832,-0.0008,19.9380,-0.0000,19.9380,42.9964,37
54.0000,43.3936,27.8819,-0.0008,19.9379,-0.0000,19.9379,43.3936,23
55.0000,43.9345,30.7575,-0.0008,19.9379,-0.0000,19.9379,43.9345,30
56.0000,44.2945,27.1878,2.0000,20.0379,0.0025,20.0379,44.2945,17
57.0000,44.6730,27.6081,0.0378,20.0398,-0.0000,20.0398,44.6730,19
58.0000,45.0446,27.4709,-0.0008,20.0397,-0.0000,20.0397,45.0446,39
59.0000,45.4783,28.7147,-0.0008,20.0397,-0.0000,20.0397,45.4783,24
60.0000,45.8280,27.0338,-0.0008,20.0396,-0.0000,20.0396,45.8280,52
61.0000,46.3522,30.5175,-0.2683,20.0262,-0.0000,20.0262,46.3522,32
62.0000,46.8758,30.5465,2.0000,20.1262,0.0025,20.1262,46.8758,13
63.0000,47.3211,29.0821,2.0000,20.2262,0.4024,20.2262,47.3211,39
64.0000,47.8085,29.9756,-0.0008,20.2262,-0.0000,20.2262,47.8085,50
65.0000,48.2838,29.7327,-0.0008,20.2261,-0.0000,20.2261,48.2838,40
66.0000,48.7669,29.8872,-0.0008,20.2261,-0.0000,20.2261,48.7669,15
67.0000,49.1103,27.1449,2.0000,20.3261,0.0025,20.3261,49.1103,14
68.0000,49.4496,27.1103,-0.0008,20.3261,-0.0000,20.3261,49.4496,58
69.0000,49.9732,30.7999,-0.0008,20.3260,-0.0000,20.3260,49.9732,20
70.0000,50.3379,27.6689,2.0000,20.4260,0.0025,20.4260,50.3379,13
71.0000,50.6934,27.5354,-0.0008,20.4260,-0.0000,20.4260,50.6934,30
72.0000,51.1990,30.5395,-0.0008,20.4259,-0.0000,20.4259,51.1990,52
73.0000,51.6368,29.2318,2.0000,20.5259,0.0025,20.5259,51.6368,16
74.0000,52.0430,28.6496,-0.0008,20.5259,-0.0000,20.5259,52.0430,45
75.0000,52.4273,28.2120,-0.0008,20.5259,-0.0000,20.5259,52.4273,80
76.0000,52.8387,28.7525,-0.0008,20.5258,-0.0000,20.5258,52.8387,45
77.0000,53.2925,29.6031,-0.0008,20.5258,-0.0000,20.5258,53.2925,47
78.0000,53.7028,28.7810,2.0000,20.6258,0.0025,20.6258,53.7028,13
79.0000,54.0941,28.4513,-0.0008,20.6257,-0.0000,20.6257,54.0941,50
80.0000,54.4954,28.6523,-0.0008,20.6257,-0.0000,20.6257,54.4954,47
81.0000,54.9993,30.7045,-0.0008,20.6257,-0.0000,20.6257,54.9993,64
82.0000,55.4516,29.7206,2.0000,20.7257,0.1023,20.7257,55.4516,12
83.0000,55.7788,27.3211,2.0000,20.8257,0.0025,20.8257,55.7788,12
84.0000,57.2581,29.5845,0.0000,0.0100,0.0100,20.8257,57.2581,1
85.0000,57.7277,30.2688,2.0000,20.9257,0.0025,20.9257,57.7277,12
86.0000,58.1417,29.2544,2.0000,21.0257,0.0025,21.0257,58.1417,12
87.0000,58.4513,27.2681,2.0000,21.1257,0.0025,21.1257,58.4513,16
88.0000,58.9386,30.8725,-0.0008,21.1256,-0.0000,21.1256,58.9386,43
89.0000,59.2907,28.2179,2.0000,21.2256,0.0025,21.2256,59.2907,12
90.0000,59.7064,29.5399,-0.0008,21.2256,-0.0000,21.2256,59.7064,44
91.0000,60.0832,28.8100,2.0000,21.3256,0.0025,21.3256,60.0832,12
92.0000,60.4252,28.2167,2.0000,21.4256,0.0025,21.4256,60.4252,44
93.0000,60.7794,28.5094,-0.0008,21.4256,-0.0000,21.4256,60.7794,39
94.0000,61.0857,27.5522,-0.0008,21.4255,-0.0000,21.4255,61.0857,17
95.0000,61.5555,30.7210,-4.0000,12.5513,44.2328,21.2255,61.5555,38
96.0000,61.9370,28.9048,2.0000,21.3255,0.0025,21.3255,61.9370,18
