Simulate Step number ,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading
1,502.466,24.7561,2,0.2,0.0025,0.2,502.466
2,503.691,24.7561,2,0.3,0.0025,0.3,503.691
3,504.911,24.7561,2,0.4,0.0025,0.4,504.911
4,506.127,24.7561,2,0.5,0.0025,0.5,506.127
5,507.337,24.7561,2,0.6,0.0025,0.6,507.337
6,508.542,24.7561,2,0.7,-9.999e-09,0.7,508.542
7,509.742,24.7561,2,0.8,-9.999e-09,0.8,509.742
8,510.938,24.7561,2,0.9,0.0025,0.9,510.938
9,512.128,24.7561,2,1,0.0025,1,512.128
10,513.313,24.7561,2,1.1,0.0025,1.1,513.313
11,514.494,24.7561,2,1.2,0.0025,1.2,514.494
12,515.669,24.7561,2,1.3,0.0025,1.3,515.669
13,516.839,24.7561,2,1.4,0.0025,1.4,516.839
14,518.005,24.7561,2,1.5,0.0025,1.5,518.005
15,519.165,24.7561,2,1.6,0.0025,1.6,519.165
16,520.32,24.7561,2,1.7,0.0025,1.7,520.32
17,521.47,24.7561,2,1.8,0.0025,1.8,521.47
18,522.616,24.7561,2,1.9,0.0025,1.9,522.616
19,523.756,24.7561,2,2,0.0025,2,523.756
20,524.891,24.7561,2,2.1,0.0025,2.1,524.891
21,526.022,24.7561,2,2.2,0.0025,2.2,526.022
22,527.147,24.7561,2,2.3,0.0525,2.3,527.147
23,528.267,24.7561,2,2.4,-9.999e-09,2.4,528.267
24,529.383,24.7561,2,2.5,0.0025,2.5,529.383
25,530.493,24.7561,2,2.6,-9.999e-09,2.6,530.493
26,531.598,24.7561,2,2.7,0.00312794,2.7,531.598
27,532.698,24.7561,2,2.8,0.0025,2.8,532.698
28,533.794,24.7561,2,2.9,0.0025,2.9,533.794
29,534.884,24.7561,2,3,0.00312794,3,534.884
30,535.969,24.7561,2,3.1,0.0025,3.1,535.969
31,537.05,24.7561,2,3.2,0.0025,3.2,537.05
32,538.125,24.7561,2,3.3,0.0025,3.3,538.125
33,539.195,24.7561,2,3.4,0.0025,3.4,539.195
34,540.261,24.7561,2,3.5,0.0025,3.5,540.261
35,541.321,24.7561,2,3.6,0.0025,3.6,541.321
36,542.376,24.7561,2,3.7,0.0025,3.7,542.376
37,543.427,24.7561,2,3.8,0.0025,3.8,543.427
38,544.472,24.7561,2,3.9,0.0025,3.9,544.472
39,545.512,24.7561,2,4,0.0025,4,545.512
40,546.547,24.7561,2,4.1,0.00249892,4.1,546.547
41,547.578,24.7561,2,4.2,0.0025,4.2,547.578
42,548.603,24.7561,2,4.3,0.0025,4.3,548.603
43,549.623,24.7561,2,4.4,0.00249892,4.4,549.623
44,550.639,24.7561,2,4.5,0.0025,4.5,550.639
45,551.649,24.7561,2,4.6,0.0025,4.6,551.649
46,552.654,24.7561,2,4.7,0.0025,4.7,552.654
47,553.655,24.7561,2,4.8,0.00399264,4.8,553.655
48,554.65,24.7561,2,4.9,0.0025,4.9,554.65
49,555.64,24.7561,2,5,0.0025,5,555.64
50,556.625,24.7561,2,5.1,0.0025,5.1,556.625
51,557.606,24.7561,2,5.2,0.0025,5.2,557.606
52,558.581,24.7561,2,5.3,0.00312794,5.3,558.581
53,559.551,24.7561,2,5.4,0.0025,5.4,559.551
54,560.517,24.7561,2,5.5,0.0025,5.5,560.517
55,561.477,24.7561,2,5.6,0.0025,5.6,561.477
56,562.432,24.7561,2,5.7,0.00312794,5.7,562.432
57,563.383,24.7561,2,5.8,0.0025,5.8,563.383
58,564.328,24.7561,2,5.9,0.00250024,5.9,564.328
59,565.268,24.7561,2,6,0.0025,6,565.268
60,566.204,24.7561,2,6.1,0.0025,6.1,566.204
61,567.134,24.7561,2,6.2,0.00399264,6.2,567.134
62,568.059,24.7561,2,6.3,0.0025,6.3,568.059
63,568.979,24.7561,2,6.4,0.0025,6.4,568.979
64,569.895,24.7561,2,6.5,0.0025,6.5,569.895
65,570.805,24.7561,2,6.6,0.00312794,6.6,570.805
66,571.71,24.7561,2,6.7,0.0025,6.7,571.71
67,572.611,24.7561,2,6.8,0.00312794,6.8,572.611
68,573.506,24.7561,2,6.9,0.0025,6.9,573.506
69,574.396,24.7561,2,7,0.0025,7,574.396
70,575.282,24.7561,2,7.1,0.0025,7.1,575.282
71,576.162,24.7561,2,7.2,0.0025,7.2,576.162
72,577.037,24.7561,2,7.3,0.0025,7.3,577.037
73,577.907,24.7561,2,7.4,0.00250024,7.4,577.907
74,578.773,24.7561,2,7.5,0.00312794,7.5,578.773
75,579.633,24.7561,2,7.6,0.0025,7.6,579.633
76,580.488,24.7561,2,7.7,0.00312794,7.7,580.488
77,581.339,24.7561,2,7.8,0.0025,7.8,581.339
78,582.184,24.7561,2,7.9,0.00312794,7.9,582.184
79,583.024,24.7561,2,8,0.0025,8,583.024
80,583.86,24.7561,2,8.1,0.0025,8.1,583.86
81,584.69,24.7561,2,8.2,0.0025,8.2,584.69
82,585.515,24.7561,2,8.3,0.0025,8.3,585.515
83,586.335,24.7561,2,8.4,0.0025,8.4,586.335
84,587.151,24.7561,2,8.5,0.0229199,8.5,587.151
85,587.961,24.7561,2,8.6,0.00249892,8.6,587.961
86,588.766,24.7561,2,8.7,0.0025,8.7,588.766
87,589.567,24.7561,2,8.8,0.0025,8.8,589.567
88,590.362,24.7561,2,8.9,0.00312794,8.9,590.362
